Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
120;-81,89654326409982;-81,89485484743045;43888;LF;1;0,0016884166693671432
121;-81,87889126414439;-81,87719884747503;43888;LF;1;0,0016924166693570442
122;-81,86123526418896;-81,8595468475196;43888;LF;1;0,0016884166693671432
123;-81,84358326423353;-81,84189084756417;43889;LF;1;0,0016924166693570442
124;-81,8259272642781;-81,82423884760874;43889;LF;1;0,0016884166693671432
125;-81,80827526432267;-81,80658284765332;43888;LF;1;0,0016924166693570442
126;-81,79061926436725;-81,78893084769788;43888;LF;1;0,0016884166693671432
127;-81,77296726441182;-81,77127484774246;43889;LF;1;0,0016924166693570442
128;-81,7553112644564;-81,75362284778703;43889;LF;1;0,0016884166693671432
129;-81,73765926450096;-81,7359668478316;43888;LF;1;0,0016924166693570442
130;-81,72000326454554;-81,71831484787617;43888;LF;1;0,0016884166693671432
131;-81,7023512645901;-81,70065884792075;43889;LF;1;0,0016924166693570442
132;-81,68469526463468;-81,68300684796532;43889;LF;1;0,0016884166693671432
133;-81,66704326467925;-81,6653508480099;43889;LF;1;0,0016924166693570442
134;-81,64938726472383;-81,64769884805446;43889;LF;1;0,0016884166693671432
135;-81,6317352647684;-81,63004284809904;43889;LF;1;0,0016924166693570442
136;-81,61407926481297;-81,6123908481436;43889;LF;1;0,0016884166693671432
137;-81,59642726485754;-81,59473484818818;43889;LF;1;0,0016924166693570442
138;-81,5787752649021;-81,57708284823275;43889;LF;1;0,0016924166693570442
139;-81,56111926494668;-81,55943084827732;43888;LF;1;0,0016884166693671432
140;-81,54346726499125;-81,5417748483219;43889;LF;1;0,0016924166693570442
141;-81,52581126503583;-81,52412284836646;43889;LF;1;0,0016884166693671432
142;-81,5081592650804;-81,50646684841104;43888;LF;1;0,0016924166693570442
143;-81,49050326512497;-81,4888148484556;43888;LF;1;0,0016884166693671432
144;-81,47285126516954;-81,47115884850018;43888;LF;1;0,0016924166693570442
145;-81,45519526521412;-81,45350684854475;43888;LF;1;0,0016884166693671432
146;-81,43754326525868;-81,43585084858933;43888;LF;1;0,0016924166693570442
147;-81,41988726530326;-81,41819884863389;43889;LF;1;0,0016884166693671432
148;-81,40223526534783;-81,40054284867847;43889;LF;1;0,0016924166693570442
149;-81,3845792653924;-81,38289084872304;43888;LF;1;0,0016884166693671432
150;-81,36692726543697;-81,36523484876761;43888;LF;1;0,0016924166693570442
151;-81,34927126548155;-81,34758284881218;43889;LF;1;0,0016884166693671432
152;-81,33161926552611;-81,32992684885676;43889;LF;1;0,0016924166693570442
153;-81,31396326557069;-81,31227484890132;43888;LF;1;0,0016884166693671432
154;-81,29631126561526;-81,2946188489459;43888;LF;1;0,0016924166693570442
155;-81,27865526565984;-81,27696684899047;43888;LF;1;0,0016884166693671432
156;-81,2610032657044;-81,25931084903505;43888;LF;1;0,0016924166693570442
157;-81,24334726574898;-81,24165884907961;43889;LF;1;0,0016884166693671432
158;-81,22569526579355;-81,22400284912419;43889;LF;1;0,0016924166693570442
159;-81,20804326583811;-81,20635084916876;43889;LF;1;0,0016924166693570442
160;-81,19038726588269;-81,18869884921332;43889;LF;1;0,0016884166693671432
161;-81,17273526592726;-81,1710428492579;43889;LF;1;0,0016924166693570442
162;-81,15507926597184;-81,15339084930247;43888;LF;1;0,0016884166693671432
163;-81,1374272660164;-81,13573484934705;43888;LF;1;0,0016924166693570442
164;-81,11977126606098;-81,11808284939161;43888;LF;1;0,0016884166693671432
165;-81,10211926610555;-81,10042684943619;43888;LF;1;0,0016924166693570442
166;-81,08446326615012;-81,08277484948076;43889;LF;1;0,0016884166693671432
167;-81,06681126619469;-81,06511884952533;43889;LF;1;0,0016924166693570442
168;-81,04915526623927;-81,0474668495699;43888;LF;1;0,0016884166693671432
169;-81,03150326628383;-81,02981084961448;43889;LF;1;0,0016924166693570442
170;-81,01384726632841;-81,01215884965904;43889;LF;1;0,0016884166693671432
171;-80,99619526637298;-80,99450284970362;43889;LF;1;0,0016924166693570442
172;-80,97853926641756;-80,97685084974819;43889;LF;1;0,0016884166693671432
173;-80,96088726646212;-80,95919484979277;43889;LF;1;0,0016924166693570442
174;-80,9432312665067;-80,94154284983733;43889;LF;1;0,0016884166693671432
175;-80,92557926655127;-80,92388684988191;43889;LF;1;0,0016924166693570442
176;-80,90792326659584;-80,90623484992648;43888;LF;1;0,0016884166693671432
177;-80,89027126664041;-80,88857884997105;43889;LF;1;0,0016924166693570442
178;-80,87261526668499;-80,87092685001562;43888;LF;1;0,0016884166693671432
179;-80,85496326672956;-80,8532708500602;43889;LF;1;0,0016924166693570442
180;-80,83731126677412;-80,83561885010477;43889;LF;1;0,0016924166693570442
181;-80,8196552668187;-80,81796685014933;43889;LF;1;0,0016884166693671432
182;-80,80200326686327;-80,80031085019391;43889;LF;1;0,0016924166693570442
183;-80,78434726690784;-80,78265885023848;43889;LF;1;0,0016884166693671432
184;-80,76669526695241;-80,76500285028305;43888;LF;1;0,0016924166693570442
185;-80,74903926699699;-80,74735085032762;43888;LF;1;0,0016884166693671432
186;-80,73138726704155;-80,7296948503722;43888;LF;1;0,0016924166693570442
187;-80,71373126708613;-80,71204285041676;43888;LF;1;0,0016884166693671432
188;-80,6960792671307;-80,69438685046134;43888;LF;1;0,0016924166693570442
189;-80,67842326717528;-80,67673485050591;43888;LF;1;0,0016884166693671432
