Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
137;-16,655351825666457;-16,653375408997817;-00001;LF;1;0,001976416668640013
138;-16,62326782574746;-16,6215774090781;00000;LF;1;0,0016904166693620937
139;-16,591521825827613;-16,589545409158973;-00001;LF;1;0,001976416668640013
140;-16,559437825908617;-16,557747409239255;00000;LF;1;0,0016904166693620937
141;-16,527640825988897;-16,525950409319535;00000;LF;1;0,0016904166693620937
142;-16,495894826069048;-16,493918409400408;-00001;LF;1;0,001976416668640013
143;-16,463810826150052;-16,46212040948069;00001;LF;1;0,0016904166693620937
144;-16,432064826230203;-16,430088409561563;-00001;LF;1;0,001976416668640013
145;-16,399980826311207;-16,398290409641845;00000;LF;1;0,0016904166693620937
146;-16,368235826391356;-16,366259409722716;-00001;LF;1;0,001976416668640013
147;-16,33615182647236;-16,334461409802998;00000;LF;1;0,0016904166693620937
148;-16,30440582655251;-16,30242940988387;-00001;LF;1;0,001976416668640013
149;-16,272321826633515;-16,270631409964153;00001;LF;1;0,0016904166693620937
150;-16,240576826713664;-16,238600410045024;-00001;LF;1;0,001976416668640013
151;-16,208492826794668;-16,206802410125306;00000;LF;1;0,0016904166693620937
152;-16,17669482687495;-16,175004410205588;00000;LF;1;0,0016904166693620937
153;-16,1449488269551;-16,14297241028646;-00001;LF;1;0,001976416668640013
154;-16,112865827036103;-16,11117541036674;00000;LF;1;0,0016904166693620937
155;-16,081067827116385;-16,079377410447023;00000;LF;1;0,0016904166693620937
156;-16,049269827196667;-16,047579410527305;00000;LF;1;0,0016904166693620937
157;-16,01747182727695;-16,015781410607588;00000;LF;1;0,0016904166693620937
158;-15,985673827357232;-15,98398341068787;00001;LF;1;0,0016904166693620937
159;-15,953876827437512;-15,95218641076815;00001;LF;1;0,0016904166693620937
160;-15,922078827517794;-15,920388410848432;00000;LF;1;0,0016904166693620937
161;-15,890280827598076;-15,888590410928714;00000;LF;1;0,0016904166693620937
162;-15,858482827678358;-15,856792411008996;00000;LF;1;0,0016904166693620937
163;-15,826685827758638;-15,824995411089276;00000;LF;1;0,0016904166693620937
164;-15,79488782783892;-15,793197411169558;00000;LF;1;0,0016904166693620937
165;-15,763089827919202;-15,76139941124984;00001;LF;1;0,0016904166693620937
166;-15,731291827999485;-15,729601411330123;00000;LF;1;0,0016904166693620937
167;-15,699493828079767;-15,697803411410405;00000;LF;1;0,0016904166693620937
168;-15,667696828160047;-15,666006411490685;00000;LF;1;0,0016904166693620937
169;-15,635950828240198;-15,633974411571558;-00001;LF;1;0,001976416668640013
170;-15,603866828321202;-15,60217641165184;00001;LF;1;0,0016904166693620937
171;-15,572120828401353;-15,570144411732713;-00001;LF;1;0,001976416668640013
172;-15,540037828482355;-15,538347411812993;00001;LF;1;0,0016904166693620937
173;-15,508291828562506;-15,506315411893866;-00001;LF;1;0,001976416668640013
174;-15,47620782864351;-15,474517411974148;00001;LF;1;0,0016904166693620937
175;-15,44446182872366;-15,44248541205502;-00001;LF;1;0,001976416668640013
176;-15,412378828804663;-15,4106884121353;00000;LF;1;0,0016904166693620937
177;-15,380632828884814;-15,378656412216174;-00001;LF;1;0,001976416668640013
178;-15,348548828965818;-15,346858412296456;00000;LF;1;0,0016904166693620937
179;-15,316802829045969;-15,314826412377329;-00001;LF;1;0,001976416668640013
180;-15,284718829126973;-15,283028412457611;00001;LF;1;0,0016904166693620937
181;-15,252973829207122;-15,250997412538482;-00001;LF;1;0,001976416668640013
182;-15,220889829288126;-15,219199412618764;00001;LF;1;0,0016904166693620937
183;-15,189143829368277;-15,187167412699637;-00001;LF;1;0,001976416668640013
184;-15,157059829449281;-15,155369412779919;00001;LF;1;0,0016904166693620937
185;-15,12531482952943;-15,12333841286079;-00001;LF;1;0,001976416668640013
186;-15,093230829610434;-15,091540412941072;00001;LF;1;0,0016904166693620937
187;-15,061484829690585;-15,059508413021945;-00001;LF;1;0,001976416668640013
188;-15,029400829771589;-15,027710413102227;00001;LF;1;0,0016904166693620937
189;-14,99765482985174;-14,995679413183097;-00001;LF;1;0,001975416668642538
190;-14,965571829932742;-14,96388141326338;00001;LF;1;0,0016904166693620937
191;-14,933825830012893;-14,931849413344253;-00001;LF;1;0,001976416668640013
192;-14,901741830093897;-14,900051413424535;00001;LF;1;0,0016904166693620937
193;-14,869995830174048;-14,868019413505408;-00001;LF;1;0,001976416668640013
194;-14,83791283025505;-14,836222413585688;00000;LF;1;0,0016904166693620937
195;-14,806114830335332;-14,80442441366597;00000;LF;1;0,0016904166693620937
196;-14,774368830415483;-14,772392413746843;-00001;LF;1;0,001976416668640013
197;-14,742284830496487;-14,740594413827125;00001;LF;1;0,0016904166693620937
198;-14,710539830576636;-14,708563413907996;-00001;LF;1;0,001976416668640013
199;-14,67845583065764;-14,676765413988278;00000;LF;1;0,0016904166693620937
200;-14,646709830737791;-14,644733414069151;-00001;LF;1;0,001976416668640013
201;-14,614625830818795;-14,612935414149433;00001;LF;1;0,0016904166693620937
202;-14,582879830898946;-14,580903414230306;-00001;LF;1;0,001976416668640013
203;-14,550796830979948;-14,549106414310586;00001;LF;1;0,0016904166693620937
204;-14,519050831060099;-14,517074414391459;-00001;LF;1;0,001976416668640013
205;-14,486966831141103;-14,485276414471741;00001;LF;1;0,0016904166693620937
206;-14,455220831221254;-14,453244414552614;-00001;LF;1;0,001976416668640013
207;-14,423137831302256;-14,421447414632894;00001;LF;1;0,0016904166693620937
208;-14,391391831382407;-14,389415414713767;-00001;LF;1;0,001976416668640013
209;-14,359307831463411;-14,35761741479405;00001;LF;1;0,0016904166693620937
210;-14,327561831543562;-14,325585414874922;-00001;LF;1;0,001976416668640013
211;-14,295478831624564;-14,293788414955202;00001;LF;1;0,0016904166693620937
212;-14,263732831704715;-14,261756415036075;-00001;LF;1;0,001976416668640013
213;-14,23164883178572;-14,229958415116357;00000;LF;1;0,0016904166693620937
214;-14,19990283186587;-14,19792641519723;-00001;LF;1;0,001976416668640013
215;-14,167818831946875;-14,166128415277512;00001;LF;1;0,0016904166693620937
216;-14,136073832027023;-14,134097415358383;-00001;LF;1;0,001976416668640013
217;-14,103989832108027;-14,102299415438665;00001;LF;1;0,0016904166693620937
218;-14,072243832188178;-14,070267415519538;-00001;LF;1;0,001976416668640013
219;-14,040159832269183;-14,03846941559982;00001;LF;1;0,0016904166693620937
220;-14,008414832349331;-14,006438415680691;-00001;LF;1;0,001976416668640013
221;-13,976330832430335;-13,974640415760973;00001;LF;1;0,0016904166693620937
222;-13,944584832510486;-13,942608415841846;-00001;LF;1;0,001976416668640013
223;-13,91250083259149;-13,910810415922128;00001;LF;1;0,0016904166693620937
224;-13,880754832671641;-13,878778416003001;-00001;LF;1;0,001976416668640013
225;-13,848671832752643;-13,846981416083281;00001;LF;1;0,0016904166693620937
226;-13,816925832832794;-13,814949416164154;-00001;LF;1;0,001976416668640013
227;-13,784841832913798;-13,783151416244436;00001;LF;1;0,0016904166693620937
